context,result,question,A,B,C,D
"Con chim chiền chiện
Bay vút, vút cao
Lòng đầy yêu mến
Khúc hát ngọt ngào.

Cánh đập trời xanh
Cao hoài, cao vợi
Tiếng hót long lanh
Như cành sương chói.

Chim ơi, chim nói
Chuyện chi, chuyện chi?
Lòng vui bối rối
Đời lên đến thì...

Tiếng ngọc trong veo
Chim gieo từng chuỗi
Lòng chim vui chiều
Hót không biết mỏi.

Chim bay, chim sà
Lúa tròn bụng sữa
Đồng quê chan chứa
Những lời chim ca

Bay cao, cao vút
Chim biến mất rồi
Chỉ còn tiếng hót
Làm xanh da trời...",[A],Con chim chiền chiện bay lượn trong khung cảnh thiên nhiên được miêu tả như thế nào?,Bay lượn giữa khung cảnh bao la rộng lớn của đất trời.,Bay lượn trong chiếc lồng sắt và nhìn ngắm thiên nhiên.,Bay lượn giữa khung cảnh nhỏ hẹp.,"Bay lượn giữa khung cảnh thiên nhiên đầy bão giông, hoang tàn."
"Con chim chiền chiện
Bay vút, vút cao
Lòng đầy yêu mến
Khúc hát ngọt ngào.

Cánh đập trời xanh
Cao hoài, cao vợi
Tiếng hót long lanh
Như cành sương chói.

Chim ơi, chim nói
Chuyện chi, chuyện chi?
Lòng vui bối rối
Đời lên đến thì...

Tiếng ngọc trong veo
Chim gieo từng chuỗi
Lòng chim vui chiều
Hót không biết mỏi.

Chim bay, chim sà
Lúa tròn bụng sữa
Đồng quê chan chứa
Những lời chim ca

Bay cao, cao vút
Chim biến mất rồi
Chỉ còn tiếng hót
Làm xanh da trời...",[D],Tiếng hót của chiền chiện gợi cho ta những cảm giác ra sao?,"Sôi sục, giục giã và gấp gáp.","Lo lắng, tức tối và buồn rầu.","Ồn ào, náo nhiệt và phiền phức.","Thanh bình, tự do và yêu đời."
"Con chim chiền chiện
Bay vút, vút cao
Lòng đầy yêu mến
Khúc hát ngọt ngào.

Cánh đập trời xanh
Cao hoài, cao vợi
Tiếng hót long lanh
Như cành sương chói.

Chim ơi, chim nói
Chuyện chi, chuyện chi?
Lòng vui bối rối
Đời lên đến thì...

Tiếng ngọc trong veo
Chim gieo từng chuỗi
Lòng chim vui chiều
Hót không biết mỏi.

Chim bay, chim sà
Lúa tròn bụng sữa
Đồng quê chan chứa
Những lời chim ca

Bay cao, cao vút
Chim biến mất rồi
Chỉ còn tiếng hót
Làm xanh da trời...",[A],"Trong khổ thơ cuối, tác dụng của tiếng hót của chim chiền chiện là gì?",Làm xanh da trời.,Khiến cây lúa trổ bông.,Gọi bình minh tới.,Làm vạn vật thức giấc.
"Con chim chiền chiện
Bay vút, vút cao
Lòng đầy yêu mến
Khúc hát ngọt ngào.

Cánh đập trời xanh
Cao hoài, cao vợi
Tiếng hót long lanh
Như cành sương chói.

Chim ơi, chim nói
Chuyện chi, chuyện chi?
Lòng vui bối rối
Đời lên đến thì...

Tiếng ngọc trong veo
Chim gieo từng chuỗi
Lòng chim vui chiều
Hót không biết mỏi.

Chim bay, chim sà
Lúa tròn bụng sữa
Đồng quê chan chứa
Những lời chim ca

Bay cao, cao vút
Chim biến mất rồi
Chỉ còn tiếng hót
Làm xanh da trời...",[B],Con chim chiền chiện bay lượn giữa khung cảnh thiên nhiên như thế nào?,Bay lượn giữa khung cảnh nhỏ hẹp.,Bay lượn giữa khung cảnh bao la rộng lớn của đất trời.,Bay lượn trong chiếc lồng sắt và nhìn ngắm thiên nhiên..,"Bay lượn giữa khung cảnh thiên nhiên đầy bão giông, hoang tàn."
"Đền Thượng nằm chót vót trên đỉnh núi Nghĩa Lĩnh. Trước đền, những khóm hải đường đâm bông rực đỏ, những cánh bướm nhiều màu sắc bay dập dờn như đang múa quạt xòe hoa. Trong đền, dòng chữ vàng Nam quốc sơn hà uy nghiêm đề ở bức hoành phi treo chính giữa.

Lăng của các vua Hùng kề bên đền Thượng, ẩn trong rừng cây xanh. Đứng ở  đây, nhìn ra xa, phong cảnh thật là đẹp. Bên phải là đỉnh Ba Vì vòi vọi, nơi Mị Nương – con gái Hùng Vương thứ 18 – theo Sơn Tinh về trấn giữ núi cao. Dãy Tam Đảo như bức tường xanh sừng sững chắn ngang bên trái đỡ lấy mây trời cuồn cuộn. Phía xa xa là núi Sóc Sơn, nơi in dấu chân ngựa sắt Phù Đổng, người có công giúp Hùng Vương đánh thắng giặc Ân xâm lược. Trước mặt là Ngã Ba Hạc, nơi gặp gỡ giữa ba dòng sông lớn tháng năm mải miết đắp bồi phù sa cho đồng bằng xanh mát.

Trước đền Thượng có một cột đá cao đến năm gang, rộng khoảng ba tấc. Theo ngọc phả, trước khi dời đô về Phong Khê, An Dương Vương đã dựng mốc đá đó, thề với các vua Hùng giữ vững giang sơn. Lần theo lối cũ đến lưng chừng núi có đền Trung thờ 18 chi vua Hùng. Những cành hoa đại cổ thụ tỏa hương thơm, những gốc thông già hàng năm, sáu thế kỉ che mát cho con cháu về thăm đất Tổ. Đi dần xuống là đền Hạ, chùa Thiên Quang và cuối cùng là đền Giếng, nơi có giếng Ngọc trong xanh, ngày xưa công chúa Mị Nương thường xuống rửa mặt, soi gương.",[A],Đền Hùng nằm trên ngọn núi nào?,Nghĩa Lĩnh.,Ba Vì.,Tam Đảo.,Mộc Châu.
"Đền Thượng nằm chót vót trên đỉnh núi Nghĩa Lĩnh. Trước đền, những khóm hải đường đâm bông rực đỏ, những cánh bướm nhiều màu sắc bay dập dờn như đang múa quạt xòe hoa. Trong đền, dòng chữ vàng Nam quốc sơn hà uy nghiêm đề ở bức hoành phi treo chính giữa.

Lăng của các vua Hùng kề bên đền Thượng, ẩn trong rừng cây xanh. Đứng ở  đây, nhìn ra xa, phong cảnh thật là đẹp. Bên phải là đỉnh Ba Vì vòi vọi, nơi Mị Nương – con gái Hùng Vương thứ 18 – theo Sơn Tinh về trấn giữ núi cao. Dãy Tam Đảo như bức tường xanh sừng sững chắn ngang bên trái đỡ lấy mây trời cuồn cuộn. Phía xa xa là núi Sóc Sơn, nơi in dấu chân ngựa sắt Phù Đổng, người có công giúp Hùng Vương đánh thắng giặc Ân xâm lược. Trước mặt là Ngã Ba Hạc, nơi gặp gỡ giữa ba dòng sông lớn tháng năm mải miết đắp bồi phù sa cho đồng bằng xanh mát.

Trước đền Thượng có một cột đá cao đến năm gang, rộng khoảng ba tấc. Theo ngọc phả, trước khi dời đô về Phong Khê, An Dương Vương đã dựng mốc đá đó, thề với các vua Hùng giữ vững giang sơn. Lần theo lối cũ đến lưng chừng núi có đền Trung thờ 18 chi vua Hùng. Những cành hoa đại cổ thụ tỏa hương thơm, những gốc thông già hàng năm, sáu thế kỉ che mát cho con cháu về thăm đất Tổ. Đi dần xuống là đền Hạ, chùa Thiên Quang và cuối cùng là đền Giếng, nơi có giếng Ngọc trong xanh, ngày xưa công chúa Mị Nương thường xuống rửa mặt, soi gương.",[B],"Các câu văn “Đền thượng nằm chót vót trên đỉnh núi Nghĩa Lĩnh. Trước đền những khóm hải đường đâm bông rực đỏ, những cách bướm nhiều màu sắc bay dập dờn như đang múa quạt xòe hoa” liên kết nhau bằng cách nào?",Bằng cách thay thế từ ngữ.,Bằng cách lặp từ ngữ.,Bằng cả hai cách trên.,Bằng cách đảo từ ngữ.
"Đền Thượng nằm chót vót trên đỉnh núi Nghĩa Lĩnh. Trước đền, những khóm hải đường đâm bông rực đỏ, những cánh bướm nhiều màu sắc bay dập dờn như đang múa quạt xòe hoa. Trong đền, dòng chữ vàng Nam quốc sơn hà uy nghiêm đề ở bức hoành phi treo chính giữa.

Lăng của các vua Hùng kề bên đền Thượng, ẩn trong rừng cây xanh. Đứng ở  đây, nhìn ra xa, phong cảnh thật là đẹp. Bên phải là đỉnh Ba Vì vòi vọi, nơi Mị Nương – con gái Hùng Vương thứ 18 – theo Sơn Tinh về trấn giữ núi cao. Dãy Tam Đảo như bức tường xanh sừng sững chắn ngang bên trái đỡ lấy mây trời cuồn cuộn. Phía xa xa là núi Sóc Sơn, nơi in dấu chân ngựa sắt Phù Đổng, người có công giúp Hùng Vương đánh thắng giặc Ân xâm lược. Trước mặt là Ngã Ba Hạc, nơi gặp gỡ giữa ba dòng sông lớn tháng năm mải miết đắp bồi phù sa cho đồng bằng xanh mát.

Trước đền Thượng có một cột đá cao đến năm gang, rộng khoảng ba tấc. Theo ngọc phả, trước khi dời đô về Phong Khê, An Dương Vương đã dựng mốc đá đó, thề với các vua Hùng giữ vững giang sơn. Lần theo lối cũ đến lưng chừng núi có đền Trung thờ 18 chi vua Hùng. Những cành hoa đại cổ thụ tỏa hương thơm, những gốc thông già hàng năm, sáu thế kỉ che mát cho con cháu về thăm đất Tổ. Đi dần xuống là đền Hạ, chùa Thiên Quang và cuối cùng là đền Giếng, nơi có giếng Ngọc trong xanh, ngày xưa công chúa Mị Nương thường xuống rửa mặt, soi gương.",[B],Câu văn “Dãy Tam Đảo như bức tường xanh sừng sững chắn ngang bên phải đỡ lấy mây trời cuồn cuộn” có sử dụng biện pháp tu từ nghệ thuật nào?,Nhân hóa.,So sánh.,Ẩn dụ.,Hoán dụ.
"Đền Thượng nằm chót vót trên đỉnh núi Nghĩa Lĩnh. Trước đền, những khóm hải đường đâm bông rực đỏ, những cánh bướm nhiều màu sắc bay dập dờn như đang múa quạt xòe hoa. Trong đền, dòng chữ vàng Nam quốc sơn hà uy nghiêm đề ở bức hoành phi treo chính giữa.

Lăng của các vua Hùng kề bên đền Thượng, ẩn trong rừng cây xanh. Đứng ở  đây, nhìn ra xa, phong cảnh thật là đẹp. Bên phải là đỉnh Ba Vì vòi vọi, nơi Mị Nương – con gái Hùng Vương thứ 18 – theo Sơn Tinh về trấn giữ núi cao. Dãy Tam Đảo như bức tường xanh sừng sững chắn ngang bên trái đỡ lấy mây trời cuồn cuộn. Phía xa xa là núi Sóc Sơn, nơi in dấu chân ngựa sắt Phù Đổng, người có công giúp Hùng Vương đánh thắng giặc Ân xâm lược. Trước mặt là Ngã Ba Hạc, nơi gặp gỡ giữa ba dòng sông lớn tháng năm mải miết đắp bồi phù sa cho đồng bằng xanh mát.

Trước đền Thượng có một cột đá cao đến năm gang, rộng khoảng ba tấc. Theo ngọc phả, trước khi dời đô về Phong Khê, An Dương Vương đã dựng mốc đá đó, thề với các vua Hùng giữ vững giang sơn. Lần theo lối cũ đến lưng chừng núi có đền Trung thờ 18 chi vua Hùng. Những cành hoa đại cổ thụ tỏa hương thơm, những gốc thông già hàng năm, sáu thế kỉ che mát cho con cháu về thăm đất Tổ. Đi dần xuống là đền Hạ, chùa Thiên Quang và cuối cùng là đền Giếng, nơi có giếng Ngọc trong xanh, ngày xưa công chúa Mị Nương thường xuống rửa mặt, soi gương.",[C],"Câu ghép “Trước đền, những khóm hải đường đâm bông rực đỏ,những cánh bướm nhiều màu sắc bay dập dờn như đang múa quạt xòe hoa” có các vế câu nối với nhau bằng cách nào?",Bằng cách sử dụng quan hệ từ.,Bằng cách sử dụng cặp từ hô ứng.,"Bằng cách nối trực tiếp, không cần từ nối..",Tất cả đểu sai.
"Đền Thượng nằm chót vót trên đỉnh núi Nghĩa Lĩnh. Trước đền, những khóm hải đường đâm bông rực đỏ, những cánh bướm nhiều màu sắc bay dập dờn như đang múa quạt xòe hoa. Trong đền, dòng chữ vàng Nam quốc sơn hà uy nghiêm đề ở bức hoành phi treo chính giữa.

Lăng của các vua Hùng kề bên đền Thượng, ẩn trong rừng cây xanh. Đứng ở  đây, nhìn ra xa, phong cảnh thật là đẹp. Bên phải là đỉnh Ba Vì vòi vọi, nơi Mị Nương – con gái Hùng Vương thứ 18 – theo Sơn Tinh về trấn giữ núi cao. Dãy Tam Đảo như bức tường xanh sừng sững chắn ngang bên trái đỡ lấy mây trời cuồn cuộn. Phía xa xa là núi Sóc Sơn, nơi in dấu chân ngựa sắt Phù Đổng, người có công giúp Hùng Vương đánh thắng giặc Ân xâm lược. Trước mặt là Ngã Ba Hạc, nơi gặp gỡ giữa ba dòng sông lớn tháng năm mải miết đắp bồi phù sa cho đồng bằng xanh mát.

Trước đền Thượng có một cột đá cao đến năm gang, rộng khoảng ba tấc. Theo ngọc phả, trước khi dời đô về Phong Khê, An Dương Vương đã dựng mốc đá đó, thề với các vua Hùng giữ vững giang sơn. Lần theo lối cũ đến lưng chừng núi có đền Trung thờ 18 chi vua Hùng. Những cành hoa đại cổ thụ tỏa hương thơm, những gốc thông già hàng năm, sáu thế kỉ che mát cho con cháu về thăm đất Tổ. Đi dần xuống là đền Hạ, chùa Thiên Quang và cuối cùng là đền Giếng, nơi có giếng Ngọc trong xanh, ngày xưa công chúa Mị Nương thường xuống rửa mặt, soi gương.",[B],"Dấu phẩy trong câu “Trong đền, dòng chữ Nam quốc sơn hà uy nghiêm đề ở bức hoành phi treo chính giữa” có ý nghĩa như thế nào?",Ngăn cách thành phần chính trong câu.,Ngăn cách trạng ngữ với các thành phần chính trong câu.,Kết thúc câu..,Tất cả đều sai.
"Đền Thượng nằm chót vót trên đỉnh núi Nghĩa Lĩnh. Trước đền, những khóm hải đường đâm bông rực đỏ, những cánh bướm nhiều màu sắc bay dập dờn như đang múa quạt xòe hoa. Trong đền, dòng chữ vàng Nam quốc sơn hà uy nghiêm đề ở bức hoành phi treo chính giữa.

Lăng của các vua Hùng kề bên đền Thượng, ẩn trong rừng cây xanh. Đứng ở  đây, nhìn ra xa, phong cảnh thật là đẹp. Bên phải là đỉnh Ba Vì vòi vọi, nơi Mị Nương – con gái Hùng Vương thứ 18 – theo Sơn Tinh về trấn giữ núi cao. Dãy Tam Đảo như bức tường xanh sừng sững chắn ngang bên trái đỡ lấy mây trời cuồn cuộn. Phía xa xa là núi Sóc Sơn, nơi in dấu chân ngựa sắt Phù Đổng, người có công giúp Hùng Vương đánh thắng giặc Ân xâm lược. Trước mặt là Ngã Ba Hạc, nơi gặp gỡ giữa ba dòng sông lớn tháng năm mải miết đắp bồi phù sa cho đồng bằng xanh mát.

Trước đền Thượng có một cột đá cao đến năm gang, rộng khoảng ba tấc. Theo ngọc phả, trước khi dời đô về Phong Khê, An Dương Vương đã dựng mốc đá đó, thề với các vua Hùng giữ vững giang sơn. Lần theo lối cũ đến lưng chừng núi có đền Trung thờ 18 chi vua Hùng. Những cành hoa đại cổ thụ tỏa hương thơm, những gốc thông già hàng năm, sáu thế kỉ che mát cho con cháu về thăm đất Tổ. Đi dần xuống là đền Hạ, chùa Thiên Quang và cuối cùng là đền Giếng, nơi có giếng Ngọc trong xanh, ngày xưa công chúa Mị Nương thường xuống rửa mặt, soi gương.",[B],Từ nào đây đồng nghĩa với từ vòi vọi?,Vun vút.,Vời vợi.,Xa xa.,Vờn vờn.
